43697;5;31-05-2011
43697;9;31-05-2011
43702;5;01-06-2011
43702;9;01-06-2011
43703;5;01-06-2011
43703;9;01-06-2011
43706;5;02-06-2011
43706;9;02-06-2011
43707;5;02-06-2011
43707;9;02-06-2011
43709;5;02-06-2011
43709;9;02-06-2011
43710;5;02-06-2011
43710;9;02-06-2011
43711;5;03-06-2011
43711;9;03-06-2011
43712;5;03-06-2011
43712;9;03-06-2011
43713;5;04-06-2011
43713;9;04-06-2011
43714;5;04-06-2011
43714;9;04-06-2011
43715;5;04-06-2011
43715;9;04-06-2011
43716;5;04-06-2011
43716;9;04-06-2011
43718;5;05-06-2011
43718;9;05-06-2011
43719;5;05-06-2011
43719;9;05-06-2011
43720;5;05-06-2011
43720;9;05-06-2011
43721;5;05-06-2011
43721;9;05-06-2011
43722;5;06-06-2011
43722;9;06-06-2011
43724;5;06-06-2011
43724;9;06-06-2011
43725;5;07-06-2011
43725;9;07-06-2011
43727;5;07-06-2011
43727;9;07-06-2011
43728;5;08-06-2011
43728;9;08-06-2011
43731;5;08-06-2011
43731;9;08-06-2011
43733;5;08-06-2011
43733;9;08-06-2011
43734;5;09-06-2011
43734;9;09-06-2011
43735;5;09-06-2011
43735;9;09-06-2011
43737;5;10-06-2011
43737;9;10-06-2011
43738;5;10-06-2011
43738;9;10-06-2011
43739;5;10-06-2011
43739;9;10-06-2011
43740;5;10-06-2011
43740;9;10-06-2011
43741;5;11-06-2011
43741;9;11-06-2011
43742;5;11-06-2011
43742;9;11-06-2011
43744;5;11-06-2011
43744;9;11-06-2011
43745;5;12-06-2011
43745;9;12-06-2011
43746;5;12-06-2011
43746;9;12-06-2011
43747;5;13-06-2011
43747;9;13-06-2011
43748;5;13-06-2011
43748;9;13-06-2011
43749;5;13-06-2011
43749;9;13-06-2011
43750;5;13-06-2011
43750;9;13-06-2011
43751;5;13-06-2011
43751;9;13-06-2011
43752;5;13-06-2011
43752;9;13-06-2011
43753;5;13-06-2011
43753;9;13-06-2011
43754;5;14-06-2011
43754;9;14-06-2011
43755;5;14-06-2011
43755;9;14-06-2011
